Iterative localization: Jacobi/PCG steps with and without pruning
=================================================================

Fine grid             : h=1/128
Coarse grid           : H=1/16
Contrast              : 1e+04
Smoother              : one forward + one backward Gauss-Seidel
Outer tolerance       : 1e-6
Spectral iterations   : 80 (excluded from timing)
Timing                : single two-grid run (no median/repetition)
Initial interpolation : geometric; iterative rows start unpruned

Note: Jacobi and diagonal-PCG act on the same global F system and start from the same geometric interpolation. With diagonal preconditioning, one matrix action expands graph support by at most one edge. The strict PCG reference is shown only as the limiting target. For every step count, a second row applies the same post-construction relative column pruning (drop=1e-2) to expose the setup/sparsity/convergence trade-off without changing the iteration itself.

Fixed-step iterative construction
---------------------------------
Field                    Method      Parameter      P nnz   Density %     Ac nnz    F residual  Energy error    Build ms  TG setup ms    Setup ms    Solve ms    Total ms     Cycles       Rho  Construct iters
channel                     PCG            m=2      74145      2.0431       4761     5.446e+04     1.010e+00      26.918        2.150      29.068    1575.703    1604.771  failed@4000    0.9881              2.0
channel                     PCG  m=2, drop=1e-2      67007      1.8464       4145     5.471e+04     1.011e+00      28.052        1.966      30.018    1616.906    1646.926  failed@4000    0.9882              2.0
channel                     PCG            m=4     103265      2.8455       4761     4.041e+04     6.994e-01      39.229        2.438      41.668    1822.774    1864.442  failed@4000    0.9921              4.0
channel                     PCG  m=4, drop=1e-2      79148      2.1810       4675     4.111e+04     7.033e-01      40.396        1.937      42.333    1776.495    1818.829  failed@4000    0.9919              4.0
channel                     PCG            m=8     170913      4.7096       8073     1.850e+04     4.453e-01      66.487        3.651      70.137    1723.499    1793.638       3734    0.9922              8.0
channel                     PCG  m=8, drop=1e-2     103989      2.8655       6379     2.066e+04     4.534e-01      68.192        2.734      70.926    1714.501    1785.427  failed@4000    0.9917              8.0
channel                     PCG           m=16     331329      9.1300      15501     7.448e+03     2.000e-01     120.935        7.543     128.478     630.721     759.200       1125    0.9937             16.0
channel                     PCG  m=16, drop=1e-2     149048      4.1071       9499     1.209e+04     2.160e-01     123.714        4.309     128.024     799.616     927.641       1750    0.9950             16.0
channel           PCG-reference      tol=1e-10    3550710     97.8420      50625     1.308e-05     0.000e+00    1828.674      235.501    2064.174    5237.936    7303.439       2416    0.9886            241.8

checker       initial-geometric            m=0      50625      1.3950       1849     6.419e+04     1.345e+00       0.226        1.531       1.756    1764.411    1766.168  failed@4000    0.9944              0.0
checker                  Jacobi            m=1      62385      1.7191       4085     4.583e+04     1.239e+00       3.086        1.471       4.557    1780.767    1785.325  failed@4000    0.9957              1.0
checker                  Jacobi  m=1, drop=1e-2      56695      1.5623       4085     4.633e+04     1.242e+00       4.339        1.429       5.768    1682.466    1688.235  failed@4000    0.9956              1.0
checker                  Jacobi            m=2      74145      2.0431       4761     3.868e+04     1.176e+00       6.732        1.901       8.633    1723.583    1732.217  failed@4000    0.9964              2.0
checker                  Jacobi  m=2, drop=1e-2      58424      1.6099       4085     3.914e+04     1.178e+00       7.314        1.558       8.872    1285.124    1293.997  failed@4000    0.9962              2.0
checker                  Jacobi            m=4     103265      2.8455       4761     3.185e+04     1.086e+00       8.093        1.210       9.303    1609.305    1618.608  failed@4000    0.9974              4.0
checker                  Jacobi  m=4, drop=1e-2      61779      1.7024       4085     3.262e+04     1.090e+00       9.296        1.850      11.146    1539.560    1550.708  failed@4000    0.9978              4.0
checker                  Jacobi            m=8     170913      4.7096       8073     2.534e+04     9.570e-01      32.855        3.544      36.399    1811.059    1847.459  failed@4000    0.9984              8.0
checker                  Jacobi  m=8, drop=1e-2      68846      1.8971       4173     2.610e+04     9.598e-01      33.377        1.938      35.314    1600.070    1635.385  failed@4000    0.9987              8.0
checker                  Jacobi           m=16     331329      9.1300      15501     1.841e+04     7.815e-01      87.991        5.827      93.818    2020.028    2113.846  failed@4000    0.9988             16.0
checker                  Jacobi  m=16, drop=1e-2      78308      2.1578       4495     1.967e+04     7.849e-01      88.864        2.015      90.879    1508.668    1599.548  failed@4000    0.9988             16.0
checker                     PCG            m=1      62385      1.7191       4085     5.214e+04     1.151e+00      25.562        1.238      26.800    1430.072    1456.873  failed@4000    0.9979              1.0
checker                     PCG  m=1, drop=1e-2      59619      1.6428       4085     5.232e+04     1.152e+00      26.450        1.252      27.703    1575.742    1603.446  failed@4000    0.9980              1.0
checker                     PCG            m=2      74145      2.0431       4761     5.414e+04     9.940e-01      24.777        2.002      26.779    1531.711    1558.490  failed@4000    0.9973              2.0
checker                     PCG  m=2, drop=1e-2      67126      1.8497       4151     5.437e+04     9.950e-01      25.592        1.932      27.523    1735.132    1762.657  failed@4000    0.9973              2.0
checker                     PCG            m=4     103265      2.8455       4761     4.028e+04     6.858e-01      39.020        2.445      41.465    1888.126    1929.593  failed@4000    0.9936              4.0
checker                     PCG  m=4, drop=1e-2      79052      2.1783       4673     4.085e+04     6.893e-01      40.696        2.404      43.100    1824.070    1867.171  failed@4000    0.9933              4.0
checker                     PCG            m=8     170913      4.7096       8073     1.776e+04     4.380e-01      86.474        3.070      89.544    1399.955    1489.500       3184    0.9913              8.0
checker                     PCG  m=8, drop=1e-2     104363      2.8758       6463     1.976e+04     4.456e-01      88.746        2.985      91.731    1467.947    1559.680       3427    0.9908              8.0
checker                     PCG           m=16     331329      9.1300      15501     7.324e+03     1.906e-01     128.860        7.404     136.263     568.798     705.063        962    0.9918             16.0
checker                     PCG  m=16, drop=1e-2     148905      4.1032       9697     1.159e+04     2.057e-01     131.198        3.483     134.681     769.050     903.732       1700    0.9946             16.0
checker           PCG-reference      tol=1e-10    3520043     96.9969      50625     1.348e-05     0.000e+00    1437.391      238.449    1675.840     447.345    2124.649        217    0.9391            194.3

