Field,Method,Parameter,P density %,Setup ms,Total ms,Cycles
cross-channel,PCG-fixed,m=16,9.1300,190.515,2071.869,4043
cross-channel,PCG-fixed,m=24,14.4398,245.169,765.084,926
cross-channel,PCG-fixed,m=32,20.4547,300.956,539.147,347
cross-channel,PCG-fixed,m=36,23.5999,340.008,543.484,268
cross-channel,PCG-fixed,m=38,25.2786,359.510,580.781,231
cross-channel,PCG-fixed,m=40,26.9969,384.630,578.657,234
cross-channel,PCG-fixed,m=48,33.8960,441.389,689.846,256
cross-channel,PCG-adaptive,selected m=40,26.9969,495.653,692.867,234
cross-channel,PCG-staged,selected m=38,25.2786,1494.620,1674.091,231
