Field,Method,Parameter,P density %,Setup ms,Total ms,Cycles
continuous,local-energy-4,tol=1e-02,11.1357,68.161,119.344,111
continuous,local-energy-4,tol=3e-03,15.7941,98.139,160.913,95
continuous,local-energy-4,tol=1e-03,18.4505,108.120,167.085,91
continuous,local-energy-4,tol=3e-04,20.0343,135.877,200.378,90
continuous,local-energy-4,tol=1e-04,20.4964,140.836,212.971,90
continuous,local-energy-4,tol=1e-10,20.5466,262.665,324.776,90
channel,local-energy-4,tol=1e-02,14.8391,84.143,3632.657,5449
channel,local-energy-4,tol=3e-03,18.2800,104.520,3625.927,5296
channel,local-energy-4,tol=1e-03,19.6917,142.057,3735.818,5283
channel,local-energy-4,tol=3e-04,20.1398,154.416,3923.780,5278
channel,local-energy-4,tol=1e-04,20.2876,155.081,3899.289,5277
channel,local-energy-4,tol=1e-10,20.5466,347.038,4080.423,5275
checker,local-energy-4,tol=1e-02,14.2278,75.030,719.711,1186
checker,local-energy-4,tol=3e-03,17.8336,111.434,296.662,265
checker,local-energy-4,tol=1e-03,19.4081,144.521,301.842,231
checker,local-energy-4,tol=3e-04,19.9827,148.041,307.022,229
checker,local-energy-4,tol=1e-04,20.1788,147.078,303.051,229
checker,local-energy-4,tol=1e-10,20.5466,327.079,478.115,229
