Field,Method,Parameter,P density %,Setup ms,Total ms,Cycles
checker,base-local,layers=2,22.6316,9.563,11.818,53
checker,adaptive-budget-v2,"R=8,B=128",24.4325,22.050,24.248,52
checker,frontier-gain-v3,"R<=10,B=128",24.0311,22.831,25.134,52
cross-channel,base-local,layers=2,22.6316,2.554,6.536,101
cross-channel,adaptive-budget-v2,"R=8,B=128",25.5113,26.539,29.698,82
cross-channel,frontier-gain-v3,"R<=10,B=128",24.7807,25.153,28.409,82
meandering-channel,base-local,layers=2,22.6316,3.111,21.342,420
meandering-channel,adaptive-budget-v2,"R=8,B=128",25.1078,19.862,30.713,287
meandering-channel,frontier-gain-v3,"R<=10,B=128",24.3518,27.561,38.213,287
diagonal-channels,base-local,layers=2,22.6316,2.606,4.911,53
diagonal-channels,adaptive-budget-v2,"R=8,B=128",25.8617,26.551,33.985,52
diagonal-channels,frontier-gain-v3,"R<=10,B=128",25.3860,29.442,31.491,52
